index,Name,Address,Brand,Gasoline_P,Diesel_P,SELF_YN,CWASH_YN,LPG_YN,MAINT_YN,CVS_YN,SEL24_YN,Area
0,'(주)보성 세곡주유소','서울 강남구  헌릉로 731 (세곡동)','SKE','1663','1839','Y','Y','','N','N','N',강남구
1,'방죽주유소','서울 강남구 밤고개로 215 (율현동)','GSC','1687','1899','Y','Y','','N','N','N',강남구
2,'현대오일뱅크(주)직영 산성셀프주유소','서울 강남구 헌릉로 730','HDO','1689','1879','Y','Y','','N','N','N',강남구
3,'오일프러스 셀프','서울 강남구 남부순환로 2651 (도곡동)','SKE','1716','1888','Y','Y','','Y','N','Y',강남구
4,'자곡셀프주유소','서울 강남구 밤고개로 120 (자곡동)','SKE','1727','1898','Y','Y','','N','N','N',강남구
5,'대교주유소','서울 강남구 강남대로 640 (신사동)','SKE','1730','1910','Y','N','','N','N','N',강남구
6,'현대오일뱅크 도곡셀프주유소','서울 강남구  남부순환로 2718 (도곡2동)','HDO','1735','1873','Y','Y','','Y','N','N',강남구
7,'일원주유소','서울 강남구 양재대로55길 3 (일원동)','SOL','1747','1999','Y','N','','N','N','N',강남구
8,'(주)중앙에너비스 수서지점','서울 강남구 광평로 202 (수서동)','SKE','1747','1947','Y','Y','','N','N','N',강남구
9,'현대오일뱅크(주) 유진주유소','서울 강남구 논현로 152 (도곡동)','HDO','1750','1888','N','Y','','Y','N','N',강남구
10,'SK에너지㈜ 진달래주유소','서울 강남구 도곡로 208','SKE','1769','1929','N','Y','','N','N','N',강남구
11,'SK서광주유소','서울 강남구 역삼로 142','SKE','1775','1880','Y','Y','','N','N','Y',강남구
12,'(주)선진도곡주유소','서울 강남구 도곡로 162 (도곡동)','SOL','1779','1969','N','Y','','Y','N','N',강남구
13,'SK에너지(주) 매봉주유소','서울 강남구 언주로 307','SKE','1779','1969','Y','Y','','Y','N','N',강남구
14,'지에스칼텍스㈜에너지플러스허브GS타워','서울 강남구 논현로 516 (역삼동)','GSC','1784','1978','N','N','','Y','N','Y',강남구
15,'(유)동하석유 힐탑셀프주유소','서울 강남구 논현로 640','SKE','1797','1997','Y','Y','','N','N','Y',강남구
16,'대동석유 압구정주유소','서울 강남구 언주로 842 (신사동)','SKE','1797','1977','Y','Y','','N','N','Y',강남구
17,'에스제이에너지산업(주) 개포주유소','서울 강남구 양재대로 339','GSC','1798','2098','N','Y','','N','N','N',강남구
18,'에쓰-오일㈜직영 개나리주유소','서울 강남구 언주로 423 (역삼동)','SOL','1829','2029','N','Y','','N','N','Y',강남구
19,'현대오일뱅크(주)직영 신사현대주유소','서울 강남구 도산대로 163 (신사동)','HDO','1898','1984','N','Y','','N','N','N',강남구
20,'삼성동주유소','서울 강남구 테헤란로 619 (삼성동)','HDO','1909','2029','Y','Y','','N','N','N',강남구
21,'지에스칼텍스㈜ 은마주유소','서울 강남구 영동대로 235','GSC','1912','2054','N','Y','','Y','N','Y',강남구
22,'현대오일뱅크(주)직영 한양주유소','서울 강남구 압구정로 302 (신사동)','HDO','1947','1994','N','Y','','N','N','N',강남구
23,'대성석유(주)동호주유소','서울 강남구 봉은사로113길 51','GSC','1979','2122','N','N','','N','N','N',강남구
24,'지에스칼텍스㈜ 삼성로주유소','서울 강남구 삼성로 563 (삼성동)','GSC','1998','2104','Y','Y','','N','N','Y',강남구
25,'(주)소모에너지 쎈트럴주유소','서울 강남구 삼성로 335','GSC','1998','2104','N','Y','','N','N','N',강남구
26,'지에스칼텍스(주)학여울주유소','서울 강남구 남부순환로 3170 (일원2동)','GSC','2044','2197','N','Y','','N','N','N',강남구
27,'명품주유소','서울 강남구 도곡로 249 (역삼동)','SOL','2197','2279','N','Y','','N','N','Y',강남구
28,'㈜새서울석유 새서울주유소','서울 강남구 압구정로 154','HDO','2198','2289','N','Y','','N','N','Y',강남구
29,'대청주유소','서울 강남구 개포로 654 (일원동)','SKE','2226','2279','N','Y','','N','N','N',강남구
30,'(주)새서울네트웍스 제이제이주유소','서울 강남구 언주로 716','HDO','2248','2437','N','Y','','N','N','Y',강남구
31,'SK논현주유소','서울 강남구 논현로 747 (논현동)','SKE','2345','2375','N','Y','','Y','N','Y',강남구
32,'갤러리아주유소','서울 강남구 압구정로 426','SKE','2357','2377','N','Y','','N','N','N',강남구
33,'(주)만정에너지 삼보주유소','서울 강남구 봉은사로 433 (삼성동)','GSC','2598','2590','N','Y','','N','N','N',강남구
34,'재건에너지 재정제2주유소 고속셀프지점','서울특별시 강동구  천호대로 1246 (둔촌제2동)','HDO','1669','1839','Y','Y','','N','N','N',강동구
35,'구천면주유소','서울 강동구 구천면로 357 (암사동)','HDO','1684','1865','N','N','','N','N','N',강동구
36,'현대오일뱅크㈜직영 명일셀프주유소','서울 강동구 고덕로 168 (명일동)','HDO','1689','1866','Y','N','','N','N','N',강동구
37,'(주)소모에너지 신월셀프주유소','서울 강동구 양재대로 1323 (성내동)','GSC','1695','2080','Y','Y','','N','N','N',강동구
38,'방아다리주유소','서울 강동구 동남로 811 (명일동)','SKE','1695','1895','Y','Y','','N','N','N',강동구
39,'대성석유(주)길동주유소','서울 강동구 천호대로 1168','GSC','1716','1919','N','Y','','N','N','N',강동구
40,'(주)삼표에너지 고덕주유소','서울 강동구 고덕로 39 (암사동)','GSC','1726','1879','Y','Y','','N','Y','N',강동구
41,'sk해뜨는주유소','서울 강동구  상일로 132 (강일동)','SKE','1755','1899','Y','Y','','Y','N','N',강동구
42,'지에스칼텍스㈜ 동서울주유소','서울 강동구 천호대로 1456 (상일동)','GSC','1758','1998','Y','Y','','N','N','N',강동구
43,'주)지유에너지직영 오렌지주유소','서울 강동구 성안로 102 (성내동)','SKE','1796','1896','N','Y','','Y','N','N',강동구
44,'(주)소모에너지 성내주유소','서울 강동구 올림픽로 578 (성내동)','GSC','1798','1928','Y','Y','','Y','N','N',강동구
45,'(주)퍼스트오일 코알라주유소','서울특별시 강동구  올림픽로 556 (성내동)','SOL','1798','1928','Y','Y','','N','N','N',강동구
46,'천호현대주유소','서울 강동구 천중로 67 (천호동)','HDO','1848','2051','N','Y','','Y','N','N',강동구
47,'광성주유소','서울 강동구 올림픽로 673 (천호동)','SOL','1978','2108','N','Y','','Y','N','Y',강동구
48,'북서울고속주유소','서울 강북구 삼양로 410 (수유동)','SKE','1625','1795','Y','N','','N','N','Y',강북구
49,'(주)석산에너지','서울 강북구 삼양로 316 (수유동)','HDO','1625','1795','Y','N','','N','N','N',강북구
50,'(주)서울에너지 시민주유소','서울 강북구 인수봉로 185 (수유동)','HDO','1625','1795','N','N','','N','N','N',강북구
51,'SK에너지(주) 매일주유소','서울 강북구 삼양로 217 (미아동)','SKE','1625','1845','Y','Y','','N','Y','N',강북구
52,'수유동주유소','서울 강북구 도봉로 395 (수유동)','GSC','1625','1815','Y','Y','','N','N','Y',강북구
53,'덕릉로주유소','서울 강북구 덕릉로 158 (번동)','SOL','1635','1825','Y','Y','','N','N','N',강북구
54,'씨앤에스유통㈜ 미아셀프주유소','서울 강북구 도봉로 200 (미아동)','SOL','1635','1835','Y','Y','','N','N','N',강북구
55,'현대오일뱅크(주)직영 번동셀프주유소','서울 강북구 한천로 963 (번동)','HDO','1637','1827','Y','Y','','Y','N','Y',강북구
56,'세원주유소','서울 강북구 한천로 918 (번동)','SKE','1658','1848','Y','Y','','N','N','N',강북구
57,'대성석유(주)신광주유소','서울 강북구 삼양로 484','GSC','1665','1855','N','Y','','Y','N','N',강북구
58,'㈜지에스이앤알 미아주유소','서울 강북구 도봉로 122 (미아동)','GSC','1669','1848','Y','Y','','N','N','N',강북구
59,'에덴주유소','서울 강북구 월계로 195 (번동)','SKE','1689','1879','Y','Y','','Y','N','N',강북구
60,'화곡역주유소','서울 강서구 강서로 154 (화곡동)','RTO','1574','1825','Y','N','','N','N','Y',강서구
61,'목화주유소','서울 강서구 국회대로 251 (화곡동)','RTO','1574','1845','Y','Y','','N','N','N',강서구
62,'뉴신정주유소','서울 강서구 곰달래로 207 (화곡동)','RTO','1574','1825','N','N','','N','N','N',강서구
63,'이케이에너지(주) 강서주유소','서울 강서구 화곡로 273 (화곡동)','HDO','1574','1817','Y','Y','','Y','N','N',강서구
64,'강서오곡셀프주유소','서울 강서구 벌말로 254 (오곡동)','SKE','1585','1835','Y','Y','','N','N','Y',강서구
65,'KH에너지(주)직영 KH외발산주유소','서울 강서구 방화대로 30','SKE','1597','1842','Y','Y','','Y','Y','N',강서구
66,'유턴주유소','서울 강서구 남부순환로 57','RTO','1605','1859','Y','N','','N','N','N',강서구
67,'지에스칼텍스㈜ 경인고속주유소','서울 강서구 국회대로 225 (화곡동)','GSC','1610','1854','Y','Y','','Y','N','Y',강서구
68,'방화주유소','서울 강서구 방화동로 58-2 (방화동)','SKE','1613','1833','Y','N','','N','N','N',강서구
69,'행촌에너지 공항주유소','서울 강서구 개화동로 420 (개화동)','HDO','1614','1834','Y','Y','','Y','Y','Y',강서구
70,'스카이주유소','서울 강서구 개화동로 457 (방화동)','SOL','1645','1894','Y','Y','','N','N','Y',강서구
71,'개화주유소','서울 강서구 양천로 57','SKE','1647','1867','Y','Y','','N','N','N',강서구
72,'(주)한진 김포공항주유소','서울 강서구 하늘길 259','SOL','1659','1869','Y','Y','','N','N','N',강서구
73,'오션네트웍스(주) 서울식물원지점','서울 강서구 양천로 300','SKE','1666','1878','Y','N','','N','N','N',강서구
74,'대성석유(주) 마곡대성주유소','서울 강서구 강서로 457','GSC','1666','1878','Y','N','','N','N','N',강서구
75,'현대오일뱅크 등촌주유소','서울 강서구 등촌로 189 (등촌동)','HDO','1666','1866','N','Y','','N','N','N',강서구
76,'화곡현대주유소','서울 강서구 강서로 151 (화곡동)','SKE','1667','1886','Y','Y','','N','N','Y',강서구
77,'강서열린주유소','서울 강서구 등촌로 213 (등촌동)','GSC','1668','1888','N','Y','','N','N','N',강서구
78,'현대오일뱅크(주) 가양주유소','서울 강서구  양천로 391 (가양동)','HDO','1669','1848','N','Y','','N','N','N',강서구
79,'신화곡주유소','서울 강서구 국회대로 71','SOL','1675','1895','Y','Y','','N','N','N',강서구
80,'대성석유(주) 관문주유소','서울 강서구 공항대로 314','GSC','1676','1898','N','Y','','Y','N','N',강서구
81,'하이웨이주유소','서울특별시 강서구 공항대로 432(화곡동)','SOL','1677','1897','Y','Y','','N','Y','Y',강서구
82,'현대오일뱅크 양화교주유소','서울 강서구 공항대로 653','HDO','1682','1865','Y','Y','','N','N','N',강서구
83,'대성석유(주)방화대성주유소','서울 강서구 양천로 176','GSC','1686','1898','Y','Y','','N','Y','N',강서구
84,'KH에너지(주)직영 가양주유소','서울 강서구 강서로 498 (가양동)','SKE','1686','1898','N','Y','','Y','Y','Y',강서구
85,'대성주유소','서울 강서구 강서로 472','GSC','1686','1898','N','Y','','Y','N','N',강서구
86,'세원제1주유소','서울 강서구 양천로 311 (가양동)','SKE','1690','1880','Y','Y','','Y','N','N',강서구
87,'우장산주유소','서울 강서구 강서로 292 (내발산동)','SKE','1695','1895','Y','N','','N','N','N',강서구
88,'(주)한진 김포공항제2주유소','서울 강서구 하늘길 112','SOL','1735','1923','Y','N','','N','N','N',강서구
89,'박물관주유소','서울 강서구 양천로53길 97 (가양동)','GSC','1748','1928','N','Y','','Y','Y','N',강서구
90,'코리나(주)청룡주유소','서울 강서구 양천로 576','SKE','1748','1898','N','Y','','N','N','N',강서구
91,'참솔에너지','서울 강서구 벌말로 281 (오곡동)','SOL','1852','1997','Y','Y','','N','N','Y',강서구
92,'염창동주유소','서울 강서구 양천로 720 (염창동)','SKE','1998','2098','N','Y','','N','N','N',강서구
93,'(주)연우에너지 신관주유소','서울 관악구 신림로 290 (신림동)','RTO','1639','1865','Y','Y','','N','N','N',관악구
94,'(주)엠오티이엔지 직영 삼화주유소','서울 관악구 보라매로 41','HDO','1649','1869','N','N','','N','N','Y',관악구
95,'현대오일뱅크(주)직영 관악셀프주유소','서울 관악구 남부순환로 1520 (신림동)','HDO','1684','1869','Y','N','','N','N','N',관악구
96,'SK에너지(주)직영 대공원주유소','서울 관악구 과천대로 921 (남현동)','SKE','1689','1869','N','Y','','Y','Y','N',관악구
97,'서일석유(주)락성주유소','서울 관악구 남부순환로 1920 (봉천동)','GSC','1689','1879','Y','Y','','Y','N','Y',관악구
98,'현대오일뱅크(주)직영 문성골주유소','서울 관악구 문성로 97 (신림동)','HDO','1689','1874','N','Y','','N','N','N',관악구
99,'현대주유소','서울 관악구 난곡로 108 (신림동)','HDO','1689','1869','N','N','','N','N','N',관악구
100,'유림주유소','서울 관악구 신림로 176 (신림동)','SOL','1698','1898','N','Y','','Y','N','Y',관악구
101,'대양석유(주)직영 보라매주유소','서울 관악구  보라매로 26 (봉천동)','SKE','1699','1869','Y','Y','','N','N','N',관악구
102,'SK에너지(주) 신봉천','서울 관악구 남부순환로 1880 (봉천동)','SKE','1699','1879','N','Y','','N','Y','N',관악구
103,'지에스칼텍스㈜ 난곡주유소','서울 관악구 난곡로 206','GSC','1741','1928','N','N','','N','N','N',관악구
104,'관악시몬주유소','서울특별시 관악구 남부순환로 1753 (봉천동)','SOL','1756','1936','N','Y','','N','N','N',관악구
105,'(주)한유에너지행운셀프주유소','서울 관악구 남부순환로 1883 (봉천동)','SKE','1759','1947','Y','Y','','N','N','N',관악구
106,'CJ대한통운㈜ 신림주유소','서울 관악구 남부순환로 1515 (신림동)','GSC','1798','1978','N','Y','','N','N','N',관악구
107,'태양주유소','서울 광진구 동일로 345 (중곡동)','HDO','1616','1824','N','N','','N','N','Y',광진구
108,'정해네트웍스(주)일진주유소','서울 광진구 동일로 413 (중곡동)','SOL','1617','1867','Y','Y','','N','N','Y',광진구
109,'(주)창원CW','서울 광진구 광나루로 460 (화양동)','HDO','1625','1815','Y','Y','','N','N','N',광진구
110,'현대오일뱅크(주)직영 능동주유소','서울 광진구 천호대로 584 (능동)','HDO','1625','1815','Y','Y','','Y','N','Y',광진구
111,'현대오일뱅크(주)직영 중곡현대주유소','서울 광진구 동일로 435 (중곡동)','HDO','1625','1825','Y','Y','','N','N','N',광진구
112,'현대오일뱅크(주) 중원셀프주유소','서울 광진구 동일로 398 (중곡동)','HDO','1625','1825','Y','Y','','N','N','N',광진구
113,'대원주유소','서울 광진구 용마산로 122 (중곡동)','SOL','1645','1869','N','N','','N','N','N',광진구
114,'용마주유소','서울 광진구 용마산로 68 (중곡동)','GSC','1645','1869','N','N','','N','N','N',광진구
115,'(주)장수주유소','서울 광진구 동일로 266 (군자동)','SKE','1668','1874','N','N','','Y','N','Y',광진구
116,'삼호주유소','서울 광진구 천호대로 809 (광장동)','SOL','1682','1897','Y','Y','','N','N','Y',광진구
117,'동서울주유소','서울 광진구 강변역로 10 (구의동)','GSC','1699','1898','N','Y','','N','N','N',광진구
118,'자양주유소','서울 광진구 아차산로 298 (자양동)','SKE','1758','1948','N','Y','','N','N','Y',광진구
119,'강평주유소','서울 광진구 아차산로 616 (광장동)','SKE','1798','1998','N','Y','','N','N','Y',광진구
120,'SK구로주유소','서울 구로구 구일로 94 (구로동)','SKE','1594','1824','N','Y','','N','N','N',구로구
121,'구인주유소','서울 구로구 경인로 558 (구로동)','SKE','1594','1824','N','Y','','Y','Y','N',구로구
122,'(주)한미석유구로그린주유소','서울 구로구 구로중앙로 76 (구로동)','GSC','1595','1827','Y','Y','','Y','N','N',구로구
123,'신성주유소','서울 구로구 구로동로 187 (구로제2동)','HDO','1595','1847','Y','Y','','N','N','N',구로구
124,'처음처럼주유소','서울 구로구 오리로 1299 (궁동)','SOL','1598','1839','N','N','','N','N','N',구로구
125,'극동유화(주) 항동주유소','서울 구로구 서해안로 2154 (항동)','SOL','1619','1849','Y','Y','','N','N','N',구로구
126,'서서울고속주유소','서울 구로구 경인로 150 (오류동)','SKE','1625','1805','Y','Y','','N','N','N',구로구
127,'대원셀프주유소','서울 구로구 개봉로 7','HDO','1637','1867','Y','Y','','N','N','N',구로구
128,'대성산업(주)디큐브주유소','서울 구로구 경인로 650 (신도림동)','GSC','1639','1824','N','N','','N','N','Y',구로구
129,'서울석유(주)풀페이주유소','서울 구로구 경인로 41 (온수동)','SKE','1639','1839','N','Y','','N','Y','Y',구로구
130,'SK에너지(주)직영 개봉동주유소','서울 구로구 경인로 290 (개봉동)','SKE','1649','1850','N','Y','','N','N','N',구로구
131,'현대오일뱅크㈜직영 신오류주유소','서울 구로구 경인로 161 (오류동)','HDO','1649','1835','N','Y','','Y','Y','N',구로구
132,'개봉주유소','서울 구로구 고척로 115 (개봉동)','HDO','1677','1887','Y','Y','','N','N','N',구로구
133,' 현대오일뱅크㈜직영 구로셀프주유소','서울 구로구 시흥대로 531','HDO','1684','1869','Y','Y','','Y','N','Y',구로구
134,'근린공원주유소','서울 구로구 고척로 199 (고척동)','SOL','1765','1935','N','Y','','N','N','N',구로구
135,'현대오일뱅크(주)직영 신구로주유소','서울 구로구 가마산로 293 (구로동)','HDO','1796','1880','N','Y','','N','N','N',구로구
136,'영진주유소','서울 구로구 구로동로 20 (가리봉동)','SOL','1797','1997','N','N','','N','N','N',구로구
137,'JHC에너지','서울 구로구 시흥대로 539','HDO','1799','1897','N','N','','Y','N','N',구로구
138,'동아주유소','서울 구로구 도림로 91 (구로동)','SOL','1998','1998','N','N','','N','Y','N',구로구
139,'구로주유소','서울 구로구 구로동로 137 (구로동)','GSC','2298','2398','N','N','','N','N','N',구로구
140,'구광주유소','서울 금천구 서부샛길 674 (가산동)','SOL','1595','1835','N','Y','','N','N','N',금천구
141,'(주)백운주유소','서울 금천구 시흥대로 282 (독산동)','RTO','1615','1879','Y','N','','N','N','N',금천구
142,'(주)화동유업 화동주유소','서울 금천구 시흥대로 484','SKE','1618','1898','Y','Y','','N','N','N',금천구
143,'대득에너지(금천셀프주유소)','서울 금천구  시흥대로 81 (시흥동)','GSC','1635','1935','Y','Y','','N','Y','Y',금천구
144,'SK에너지(주) 박미주유소','서울 금천구 시흥대로 39-7 (시흥동)','SKE','1645','1935','Y','N','','N','N','N',금천구
145,'현대오일뱅크(주)직영 금천현대셀프주유소','서울 금천구 독산로 147 (시흥동)','HDO','1665','1880','Y','Y','','N','N','N',금천구
146,'백산주유소','서울특별시 금천구  시흥대로 174 (시흥동)','SOL','1685','1898','Y','Y','','Y','N','N',금천구
